2024/02/04 00:53:43.165 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: i/o timeout
2024/02/04 20:35:11.815 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 20:35:13.821 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 21:15:51.348 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: operation timed out
2024/02/04 21:15:53.354 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: no route to host
2024/02/04 21:15:55.359 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 21:16:38.266 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 21:16:40.273 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 21:17:36.857 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: i/o timeout
2024/02/04 21:18:08.861 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: i/o timeout
2024/02/04 23:03:25.197 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: operation timed out
2024/02/04 23:35:36.347 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: operation timed out
2024/02/04 23:51:33.961 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
